step,actor_loss,value_loss,mean_return,mean_reward,mean_value,mean_entropy
1,0.3106,1.6288,-0.3106,-0.0445,0.0392,2.368
50,0.4422,2.2929,-0.4422,-0.0136,-0.3143,2.3913
100,-0.7729,4.1764,0.7729,0.0988,0.0711,2.1575
150,-2.8452,3.8386,2.8452,0.0461,2.5274,1.8752
200,-13.2849,3.9569,13.2849,0.1031,13.2083,1.337
250,-16.1308,5.2135,16.1308,0.1011,16.1891,1.0915
300,-17.3803,7.1834,17.3803,0.0606,16.9775,1.2854
350,-37.8987,12.9296,37.8987,0.0819,38.5487,0.5609
400,-43.3908,11.546,43.3908,0.1709,42.8017,0.2037
450,-54.0536,22.3398,54.0536,0.2456,53.7362,-0.1591
500,-63.5808,15.2021,63.5808,0.1642,63.771,-0.6094
550,-85.6968,30.5136,85.6968,0.1549,85.0817,-0.9319
600,-103.2764,42.5188,103.2764,0.1326,103.4492,-1.1474
650,-118.3413,40.3951,118.3413,0.1735,116.8115,-1.2791
700,-125.1757,41.8612,125.1757,0.1493,124.9996,-1.3573
750,-129.8536,40.7027,129.8536,0.1728,131.1923,-1.507
800,-142.2596,47.8927,142.2596,0.1857,142.0424,-1.5361
850,-141.5383,33.5942,141.5383,0.2574,142.0408,-1.628
900,-123.4402,41.7402,123.4402,0.1299,124.5409,-1.6969
950,-137.694,54.9806,137.694,0.2071,136.9886,-1.7607
1000,-123.8058,40.4567,123.8058,0.1274,124.4061,-1.7536
1050,-141.5007,62.9646,141.5007,0.15,142.0023,-1.8349
1100,-134.6745,48.3,134.6745,0.1693,133.2573,-1.805
1150,-135.692,48.2805,135.692,0.1935,135.7428,-1.8725
1200,-124.5603,44.2342,124.5603,0.0903,124.0258,-1.9167
1250,-125.2496,44.7826,125.2496,0.1586,125.1393,-1.816
1300,-133.8152,32.8606,133.8152,0.209,133.9854,-1.8491
1350,-127.124,38.4828,127.124,0.2338,126.2594,-1.8534
1400,-127.1726,47.7343,127.1726,0.1085,127.1462,-1.8963
1450,-123.046,65.0715,123.046,0.2223,123.59,-2.0043
1500,-111.0713,31.8867,111.0713,0.126,111.5285,-2.0213
1550,-111.8659,29.4774,111.8659,0.1587,111.7663,-2.0764
1600,-97.5298,29.4508,97.5298,0.1064,98.3143,-2.2488
1650,-91.8526,21.9833,91.8526,0.1909,92.3944,-2.2204
1700,-92.7711,30.1586,92.7711,0.1412,93.8913,-2.2158
1750,-91.6571,23.672,91.6571,0.2095,91.3672,-2.2335
1800,-77.1271,32.4579,77.1271,0.2436,77.6216,-2.2355
1850,-64.5649,3339.0469,64.5649,-0.773,71.5489,-2.3081
1900,-63.233,56.5014,63.233,-0.0395,64.3544,-2.4896
1950,-71.4087,14.2298,71.4087,0.2187,70.3942,-2.3832
2000,-68.6402,14.7826,68.6402,0.1825,69.0092,-2.4112
2050,-64.0914,12.6324,64.0914,0.11,64.2152,-2.4735
2100,-68.946,13.628,68.946,0.14,69.7045,-2.4501
2150,-66.412,9.4638,66.412,0.1983,66.2808,-2.4473
2200,-68.1666,8.9072,68.1666,0.2246,67.9738,-2.3617
2250,-64.0744,15.876,64.0744,0.1224,64.7994,-2.4823
2300,-64.8237,13.6296,64.8237,0.16,65.4976,-2.4755
2350,-65.2766,9.8346,65.2766,0.1856,65.0785,-2.4861
2400,-58.0288,12.3086,58.0288,0.0619,57.8828,-2.5473
2450,-57.2628,10.812,57.2628,0.137,56.7888,-2.5781
2500,-56.8789,11.8254,56.8789,0.161,56.8925,-2.6117
2550,-57.1436,11.3225,57.1436,0.1166,57.3751,-2.3422
2600,-61.0453,12.4863,61.0453,0.2003,60.4644,-2.4975
2650,-64.427,11.7018,64.427,0.1996,64.4498,-2.6503
2700,-58.9967,9.8588,58.9967,0.1462,58.6568,-2.6735
2750,-57.5139,10.3708,57.5139,0.1242,57.2699,-2.6535
2800,-57.1362,10.2477,57.1362,0.1434,57.025,-2.4909
2850,-57.2905,14.6505,57.2905,0.2307,57.0944,-2.607
2900,-59.295,8.4932,59.295,0.1073,59.5489,-2.4938
2950,-59.0142,13.3356,59.0142,0.2311,58.6976,-2.5322
3000,-65.5248,9.9527,65.5248,0.2264,65.713,-2.2798
3050,-62.1114,10.7799,62.1114,0.1486,62.4131,-2.3608
3100,-57.775,13.8175,57.775,0.1129,57.8803,-2.4538
3150,-63.669,14.7008,63.669,0.0825,64.2303,-2.5705
3200,-64.646,12.4669,64.646,0.1883,64.3469,-2.5797
3250,-62.0316,11.3287,62.0316,0.1862,61.6679,-2.5308
3300,-61.2425,9.486,61.2425,0.2111,61.4888,-2.5213
3350,-59.4104,8.8952,59.4104,0.2109,58.9736,-2.6547
3400,-61.3868,11.9279,61.3868,0.1384,60.5305,-2.5074
3450,-59.6331,10.6594,59.6331,0.1473,59.2788,-2.4993
3500,-60.6404,9.7308,60.6404,0.2213,59.9204,-2.5264
3550,-59.6716,14.0161,59.6716,0.1279,59.8178,-2.5501
3600,-51.5582,14.1387,51.5582,0.0993,50.6579,-2.4861
3650,-61.0797,9.1928,61.0797,0.1341,61.0899,-2.5444
3700,-62.5327,9.8811,62.5327,0.1893,62.2055,-2.5921
3750,-58.4975,10.8858,58.4975,0.153,58.7066,-2.5036
3800,-57.9073,7.5284,57.9073,0.2277,58.1215,-2.5033
3850,-64.1005,13.2621,64.1005,0.1766,64.4469,-2.5139
3900,-58.161,14.3254,58.161,0.1204,57.8983,-2.4426
3950,-53.2944,8.9571,53.2944,0.1548,52.7262,-2.4186
4000,-60.201,6.227,60.201,0.1885,59.8687,-2.4548
4050,-58.4514,12.3463,58.4514,0.1657,58.6279,-2.4361
4100,-62.541,10.2954,62.541,0.2123,62.2661,-2.336
4150,-57.6467,8.5052,57.6467,0.1859,57.2736,-2.5911
4200,-57.1725,10.5467,57.1725,0.2275,56.6044,-2.6786
4250,-56.7734,10.628,56.7734,0.1373,56.503,-2.5802
4300,-57.0045,12.602,57.0045,0.2046,56.2942,-2.5513
4350,-59.1793,14.3174,59.1793,0.1479,59.2537,-2.4775
4400,-58.1591,10.6888,58.1591,0.1394,57.4564,-2.5968
4450,-57.5782,10.4467,57.5782,0.1652,57.698,-2.5218
4500,-58.6015,11.8576,58.6015,0.2049,57.8856,-2.3585
4550,-61.9093,13.391,61.9093,0.1539,62.459,-2.502
4600,-63.9672,14.372,63.9672,0.1285,63.5465,-2.515
4650,-64.7468,10.2622,64.7468,0.1458,64.7688,-2.5035
4700,-64.9998,14.6397,64.9998,0.1704,64.9316,-2.4948
4750,-57.785,12.9864,57.785,0.0528,57.393,-2.7315
4800,-57.8409,12.6066,57.8409,0.224,57.5593,-2.8011
4850,-59.4036,10.3783,59.4036,0.1572,59.5348,-2.8733
4900,-57.1574,12.8175,57.1574,0.144,57.0151,-2.7699
4950,-58.5874,18.1018,58.5874,0.2161,58.262,-2.8889
5000,-63.694,12.654,63.694,0.1824,63.7422,-2.7977
5050,-60.9727,12.6137,60.9727,0.1746,60.8561,-2.8132
5100,-55.9896,10.7832,55.9896,0.1295,56.1439,-2.8976
5150,-66.3021,13.0793,66.3021,0.1945,65.7593,-2.7906
5200,-62.509,8.7984,62.509,0.194,62.4423,-2.8747
5250,-65.7706,13.9278,65.7706,0.1792,65.1357,-2.7387
5300,-58.8263,10.8291,58.8263,0.1298,58.9363,-2.7064
5350,-56.8823,9.5399,56.8823,0.1566,56.5846,-2.8237
5400,-62.1724,13.1768,62.1724,0.1127,62.4811,-2.8748
5450,-57.666,17.8072,57.666,0.1034,56.7136,-2.9377
5500,-59.2273,11.4832,59.2273,0.1408,58.9602,-2.8741
5550,-68.8793,13.707,68.8793,0.1751,69.091,-2.8094
5600,-62.8557,18.4467,62.8557,0.0977,63.1934,-2.9489
5650,-69.7439,8.5802,69.7439,0.2523,69.6932,-3.0196
5700,-72.7125,13.4169,72.7125,0.2002,72.5798,-2.8614
5750,-74.1685,14.9083,74.1685,0.2038,74.2698,-3.0755
5800,-67.2814,17.2984,67.2814,0.217,66.7724,-2.9909
5850,-68.1378,17.9296,68.1378,0.0484,68.1367,-3.0832
5900,-66.7274,14.3121,66.7274,0.124,67.4073,-3.037
5950,-68.2205,11.9801,68.2205,0.1541,67.8886,-3.2986
6000,-68.091,10.4989,68.091,0.1617,68.7584,-3.0455
6050,-78.9032,10.7894,78.9032,0.2177,79.0954,-3.3758
6100,-73.702,16.896,73.702,0.1375,74.3189,-3.1209
6150,-70.7941,14.9879,70.7941,0.1111,70.4265,-3.2209
6200,-75.1198,13.0729,75.1198,0.1488,75.2028,-3.2182
6250,-74.6136,12.2491,74.6136,0.1907,74.2172,-3.2854
