step,actor_loss,mc_return,reward_sum,mean_reward,entropy,steer,gas,brake
1,0.3964,-0.3988,-0.5299,-0.0353,2.3675,0.034,0.521,0.493
50,-0.1878,0.1855,0.2772,0.0185,2.3399,0.322,0.494,0.136
100,-1.5342,1.5322,2.8097,0.1873,1.9739,0.646,0.464,0.002
150,-1.4438,1.4421,2.7466,0.1831,1.715,0.566,0.278,0.003
200,-1.168,1.1668,1.9039,0.1269,1.2001,0.58,0.095,0.001
250,-1.3924,1.3916,2.3542,0.1569,0.835,0.698,0.056,0.0
300,-1.1476,1.1469,1.9584,0.1306,0.7391,0.527,0.036,0.001
350,-1.0762,1.0754,1.9286,0.1286,0.8246,0.467,0.027,0.002
400,-0.7752,0.7745,1.3877,0.0925,0.7962,0.46,0.023,0.001
450,-1.591,1.5903,2.8411,0.1894,0.766,0.289,0.015,0.001
500,-0.945,0.9439,1.5795,0.1053,1.0435,0.035,0.044,0.002
550,-1.737,1.7363,3.006,0.2004,0.6849,0.15,0.023,0.001
600,-1.8673,1.8664,3.1427,0.2095,0.9483,-0.517,0.011,0.004
650,-0.3094,0.3088,-1.872,-0.1248,0.6233,-0.436,0.016,0.0
700,-2.0639,2.0633,3.7275,0.2485,0.5688,0.006,0.018,0.0
750,-1.8154,1.8148,3.241,0.2161,0.5887,0.36,0.085,0.0
800,-1.2023,1.2012,1.7212,0.1147,1.0422,0.073,0.404,0.001
850,-1.8604,1.8594,3.1428,0.2095,1.0112,-0.075,0.515,0.0
900,-1.8459,1.8451,2.9485,0.1966,0.8356,0.239,0.379,0.001
950,-1.7778,1.7769,3.1827,0.2122,0.859,0.105,0.432,0.001
1000,1.0723,-1.0732,-0.5636,-0.0376,0.9539,-0.107,0.529,0.0
1050,0.3497,-0.3505,0.5364,0.0358,0.7335,0.221,0.368,0.0
1100,-2.0391,2.0383,3.4945,0.233,0.7516,0.225,0.377,0.0
1150,-2.7798,2.7791,4.6943,0.313,0.6968,0.086,0.429,0.0
1200,-2.0673,2.0666,3.4511,0.2301,0.7366,-0.043,0.491,0.0
1250,-1.3633,1.3627,2.2951,0.153,0.6599,0.097,0.42,0.0
1300,-1.6251,1.6245,2.3122,0.1541,0.5785,0.249,0.344,0.0
1350,-1.6867,1.6862,2.6935,0.1796,0.5268,0.316,0.317,0.0
1400,-2.1601,2.1594,3.6137,0.2409,0.6235,0.241,0.354,0.0
1450,-2.042,2.0412,3.3728,0.2249,0.839,0.178,0.397,0.0
1500,-2.1033,2.1023,3.4141,0.2276,0.9527,0.225,0.372,0.002
1550,-1.702,1.7012,2.709,0.1806,0.8214,0.356,0.308,0.001
1600,-1.4296,1.4288,2.1777,0.1452,0.8563,0.013,0.451,0.001
1650,-2.6922,2.6914,4.6183,0.3079,0.8301,0.241,0.356,0.001
1700,-0.1524,0.1517,-1.5296,-0.102,0.7039,0.373,0.297,0.0
1750,-2.1252,2.1244,3.6266,0.2418,0.7822,0.195,0.368,0.0
1800,-2.065,2.0642,3.4489,0.2299,0.7704,0.085,0.416,0.0
1850,-1.8759,1.8751,3.199,0.2133,0.796,0.166,0.382,0.0
1900,-1.8943,1.8935,2.9899,0.1993,0.8059,0.151,0.362,0.0
1950,-2.3006,2.2998,3.9564,0.2638,0.8275,0.198,0.327,0.0
2000,-2.3981,2.3973,4.1342,0.2756,0.8242,0.291,0.31,0.0
2050,-2.0143,2.0133,3.3138,0.2209,0.9237,0.185,0.35,0.017
2100,-2.2656,2.2649,3.6484,0.2432,0.6577,0.093,0.369,0.001
2150,-2.2428,2.2421,3.751,0.2501,0.6657,0.275,0.263,0.0
2200,-2.4228,2.4221,4.0969,0.2731,0.7211,0.161,0.329,0.0
2250,-1.6006,1.5998,2.5409,0.1694,0.818,0.001,0.407,0.008
2300,-1.4508,1.4499,2.3748,0.1583,0.9426,0.098,0.393,0.03
2350,-1.8924,1.8916,3.145,0.2097,0.8878,0.171,0.347,0.0
2400,-1.593,1.5921,1.322,0.0881,0.9618,0.191,0.358,0.013
2450,-1.6158,1.6149,2.6163,0.1744,0.8337,0.011,0.405,0.011
2500,-1.878,1.8768,2.9614,0.1974,1.2201,0.413,0.256,0.013
2550,-1.5727,1.5716,2.6464,0.1764,1.1212,0.345,0.307,0.001
2600,-1.862,1.8609,3.3729,0.2249,1.1478,0.431,0.248,0.001
2650,-2.1338,2.1328,3.5967,0.2398,0.975,0.242,0.323,0.0
2700,-1.5749,1.5738,2.6954,0.1797,1.0263,0.269,0.326,0.0
2750,-2.4716,2.4707,4.0324,0.2688,0.8725,0.047,0.388,0.002
2800,-2.1078,2.1069,3.3822,0.2255,0.8764,0.149,0.341,0.0
2850,-2.0767,2.0759,3.6349,0.2423,0.8736,0.111,0.332,0.0
2900,-2.1312,2.1303,3.5949,0.2397,0.927,0.096,0.374,0.0
2950,-2.0641,2.0628,3.4042,0.2269,1.2871,0.411,0.273,0.0
3000,-1.5912,1.5899,2.7171,0.1811,1.2934,0.359,0.293,0.009
3050,-2.314,2.313,3.6245,0.2416,0.9395,-0.071,0.495,0.0
3100,-2.2463,2.2451,3.8481,0.2565,1.2722,0.314,0.297,0.0
