t,steer_dataset,gas_dataset,brake_dataset,steer_actor,gas_actor,brake_actor
0,-0.04160205,0.65,0.0,0.44347346,0.44314292,0.015218943
1,-0.15979071,0.65,0.0,1.0,0.93485725,5.9604645e-08
2,-0.1572612,0.35,0.0,1.0,0.8676338,1.1920929e-07
3,-0.2738629,0.65,0.0,1.0,0.2590152,1.6987324e-06
4,-0.31302166,0.35,0.0,1.0,0.042150974,8.7320805e-06
5,-0.08331207,0.5839467,0.2515009,0.9999976,0.019277483,2.4706125e-05
6,-0.19385552,0.65,0.0,0.9998927,0.015627265,3.5762787e-05
7,-0.29573217,0.65,0.0,0.9995192,0.014888525,3.7401915e-05
8,-0.25737694,0.65,0.0,0.99923265,0.01618129,3.477931e-05
9,-0.22649628,0.65,0.0,0.99890983,0.019982904,3.2931566e-05
10,-0.16317485,0.41504055,0.008736398,0.9980818,0.028793007,3.167987e-05
11,-0.20989808,0.65,0.0,0.99564695,0.0478912,3.054738e-05
12,-0.14981383,0.65,0.0,0.987972,0.086946696,2.9534101e-05
13,-0.08808909,0.65,0.0,0.9639486,0.15662089,2.8789043e-05
14,-0.016100096,0.65,0.0,0.89263046,0.2593576,2.849102e-05
15,-0.037898038,0.65,0.0,0.6873387,0.38618916,2.8729439e-05
16,-0.1130103,0.65,0.0,0.11098982,0.5291503,2.9712915e-05
17,0.024898177,0.65,0.0,-0.80057496,0.6943417,3.07858e-05
18,-0.018098498,0.65,0.0,-0.9966503,0.8640259,3.0070543e-05
19,-0.01896927,0.65,0.0,-0.9998867,0.9552978,2.682209e-05
20,0.013468417,0.65,0.0,-0.9999898,0.9864526,2.3782253e-05
21,-0.017113775,0.65,0.0,-0.9999981,0.9955139,2.0951033e-05
22,0.07096042,0.65,0.0,-0.99999934,0.99827063,1.8566847e-05
23,0.07120628,0.65,0.0,-0.99999964,0.99922776,1.630187e-05
24,0.06275934,0.65,0.0,-0.9999997,0.99960804,1.4215708e-05
25,0.09463211,0.65,0.0,-0.9999996,0.99977976,1.2308359e-05
26,0.019614292,0.65,0.0,-0.9999993,0.9998663,1.0669231e-05
27,0.007957123,0.65,0.0,-0.9999983,0.9999138,9.328127e-06
28,0.13110709,0.65,0.0,-0.9999946,0.9999409,8.612871e-06
29,0.23550871,0.65,0.0,-0.9999802,0.99995697,8.6426735e-06
30,0.17820159,0.65,0.0,-0.9999425,0.999969,8.404255e-06
31,0.23619,0.65,0.0,-0.99992466,0.9999809,5.7816505e-06
32,0.05618204,0.65,0.0,-0.9998558,0.9999888,3.1292439e-06
33,0.01675746,0.65,0.0,-0.9995813,0.9999926,1.6987324e-06
34,0.051602926,0.65,0.0,-0.9990029,0.99999475,9.834766e-07
35,0.13282342,0.65,0.0,-0.9979509,0.99999607,5.9604645e-07
