steer,gas,brake
0.9986878,0.99668205,3.1143427e-05
-0.9315763,0.99995875,1.1920929e-07
-1.0,0.9999999,0.0
-0.9734665,0.99999416,0.0
-0.9999984,0.999979,8.940697e-08
0.9999707,0.9999809,0.0
-0.4177273,0.99999934,0.0
-1.0,1.0,0.0
0.78392863,0.9999877,0.0
0.7611954,0.9999989,0.0
0.79195017,0.99999857,0.0
-0.8640095,0.99981236,8.046627e-07
0.97678554,0.99999833,0.0
1.0,0.99788177,3.9339066e-06
-0.95866376,0.9998008,1.847744e-06
-0.95708466,0.99999946,0.0
1.0,0.9913581,4.8577785e-06
-1.0,0.99999994,0.0
-0.89584285,0.99999416,0.0
0.7788879,0.99954164,2.2053719e-06
-0.9999573,1.0,0.0
-0.69159687,0.9999981,0.0
-0.9998292,0.99999994,0.0
-0.99908304,0.99999964,0.0
-1.0,0.9999993,0.0
-0.9999999,0.9998884,3.5762787e-06
-1.0,0.99999994,0.0
-0.8656833,0.99999976,0.0
0.9700113,0.9999992,0.0
1.0,0.9975716,3.874302e-07
-0.73876816,0.9999999,0.0
1.0,0.9999362,0.0
1.0,0.9997912,2.9802322e-08
-0.9999828,1.0,0.0
-1.0,0.99999714,0.0
-1.0,0.99999994,0.0
1.0,0.99999475,0.0
1.0,0.99606466,1.758337e-06
-0.9999999,0.99999994,0.0
-1.0,1.0,0.0
-0.99999017,0.9999999,0.0
0.3154023,0.99999875,0.0
-1.0,0.9999999,0.0
-1.0,0.99978447,2.002716e-05
0.9999999,0.973778,0.0003374219
-1.0,0.99999946,0.0
-0.99998784,0.9999994,0.0
-0.99995637,0.9999987,0.0
-0.9999939,1.0,0.0
1.0,0.99641055,7.867813e-06
-1.0,0.99999994,0.0
-1.0,0.9999988,0.0
-0.9999906,0.99921525,5.2303076e-05
1.0,0.99004865,1.0728836e-06
0.99999994,0.9998672,2.9802322e-08
0.9948548,0.9999441,2.9802322e-08
0.9999999,0.99493504,2.220273e-05
-0.99876106,0.9999987,0.0
-0.9901421,0.9999926,0.0
0.9999991,0.9999608,0.0
-1.0,0.99999994,0.0
1.0,0.9826192,0.000110179186
-1.0,0.9999968,2.9802322e-08
0.94175106,0.99983454,4.7683716e-07
1.0,0.9999249,0.0
1.0,0.9938456,5.4836273e-06
-1.0,0.9999947,1.4901161e-07
-1.0,0.9999998,0.0
1.0,0.99855846,2.026558e-06
1.0,0.9999913,0.0
1.0,0.9999447,0.0
-0.9979576,0.999995,0.0
-1.0,0.9999943,2.682209e-07
-1.0,0.99999994,0.0
-1.0,0.99999994,0.0
-0.9996101,0.9996,7.301569e-06
-1.0,0.99999976,0.0
0.9998774,0.99719965,1.9282103e-05
-1.0,0.9999995,0.0
0.99991614,0.9999815,0.0
-0.9999759,0.99999946,0.0
0.99998593,0.9997599,2.0861626e-07
-1.0,0.99999917,0.0
-1.0,0.9999907,8.940697e-08
-1.0,0.9999929,2.3841858e-07
1.0,0.9951724,3.8146973e-06
-1.0,0.99999994,0.0
-0.99998033,0.9999993,0.0
-0.9999998,0.99999774,0.0
-0.98406184,0.99999315,0.0
-1.0,0.9999974,0.0
0.9999121,0.99999326,0.0
0.9822318,0.9999973,0.0
0.96161395,0.9999691,2.9802322e-08
-0.99987876,0.99999416,0.0
0.99999994,0.99995136,0.0
-1.0,1.0,0.0
-0.99999994,0.9999998,0.0
-1.0,0.9999995,0.0
-0.99995255,0.99998933,2.9802322e-08
0.99999285,0.9999951,0.0
-0.9999128,0.9996771,6.2584877e-06
0.5105668,0.99988693,2.3841858e-07
-1.0,0.9999999,0.0
-1.0,0.9999912,5.9604645e-08
1.0,0.99994874,0.0
0.043270804,0.99999666,0.0
0.99996895,0.99976707,2.0861626e-07
-0.99966747,0.99999213,0.0
1.0,0.97391427,1.0311604e-05
0.99999994,0.9999634,0.0
-0.9999907,0.9999999,0.0
-1.0,0.9999999,0.0
-1.0,1.0,0.0
-0.9997858,0.99999976,0.0
-1.0,0.9999593,6.854534e-07
0.9995296,0.9999992,0.0
-0.9859325,0.99997675,2.9802322e-08
-1.0,0.9999999,0.0
-1.0,0.9999988,0.0
-1.0,0.9999971,0.0
-1.0,0.9999999,0.0
0.38837737,0.99936116,4.708767e-06
1.0,0.9999826,0.0
-1.0,0.9999861,4.172325e-07
1.0,0.97739476,5.841255e-06
-1.0,0.9999999,0.0
-1.0,0.99999917,0.0
-1.0,0.99999964,0.0
-1.0,0.9999999,0.0
0.95565975,0.999999,0.0
-1.0,0.9998588,1.3530254e-05
0.99997824,0.99999034,0.0
-1.0,0.99999976,0.0
-1.0,1.0,0.0
-1.0,0.999966,4.6491623e-06
1.0,0.9998877,0.0
0.99999666,0.99998546,0.0
0.9999752,0.999974,0.0
1.0,0.9999888,0.0
1.0,0.9973092,2.8014183e-06
-0.99999994,0.9999995,0.0
0.95305604,0.99999905,0.0
0.10820159,0.99762917,4.3720007e-05
-0.99996763,0.9999987,0.0
0.9999997,0.9997897,8.940697e-08
1.0,0.99707353,1.8775463e-06
-0.99999875,0.99999624,0.0
1.0,0.9844581,2.592802e-06
0.99971175,0.99996734,0.0
-0.999983,0.99999833,0.0
1.0,0.9999508,0.0
-0.43385458,0.99999785,0.0
-1.0,0.9999995,0.0
1.0,0.9995166,5.9604645e-08
-0.9966269,0.999995,0.0
-0.99996454,0.9999801,5.9604645e-08
-0.9999999,0.9999997,0.0
-0.99999964,0.99999994,0.0
-1.0,0.9999999,0.0
-0.9999916,0.99999964,0.0
-1.0,0.9999844,1.4901161e-07
1.0,0.99819994,1.1324883e-06
-1.0,0.9999999,0.0
-0.99999154,0.99999976,0.0
-0.9935213,0.9999999,0.0
-1.0,0.9999993,0.0
-0.99999964,0.99999976,0.0
1.0,0.9999814,0.0
1.0,0.9972174,1.0728836e-06
-1.0,0.99999964,0.0
0.99978465,0.999975,0.0
-1.0,0.99999607,1.1920929e-07
-0.9998265,0.9999994,0.0
-0.9999446,0.9999967,0.0
-1.0,0.99999154,1.4901161e-07
-0.9986656,0.9976665,0.00015330315
-1.0,0.9999378,1.937151e-06
0.97651607,0.9999964,0.0
0.99288297,0.9997378,5.364418e-07
0.9993918,0.9999983,0.0
-0.9999743,0.9999998,0.0
1.0,0.99959207,5.9604645e-08
-1.0,0.99999976,0.0
-0.9902773,0.9999908,0.0
-1.0,0.9999993,0.0
0.99999994,0.99831074,2.861023e-06
0.99998635,0.9970525,1.9937754e-05
0.996975,0.9999602,2.9802322e-08
0.9999998,0.99996406,0.0
-1.0,0.99998665,3.2782555e-07
-0.99987954,0.99999785,0.0
-1.0,0.9999999,0.0
-0.9998138,0.9999988,0.0
-1.0,0.99999994,0.0
1.0,0.9984461,5.9604645e-07
-0.99999964,0.9999999,0.0
0.99426615,0.99704283,3.1858683e-05
-0.76823163,0.99986815,5.364418e-07
1.0,0.9995135,2.9802322e-08
1.0,0.9992542,6.2584877e-07
-0.9999999,0.9999998,0.0
-1.0,0.99999976,0.0
-0.99999994,0.9997344,1.5765429e-05
1.0,0.99982905,2.9802322e-08
1.0,0.9999647,0.0
-0.9996061,0.99998534,2.9802322e-08
0.98739815,0.9999448,2.9802322e-08
-0.99992126,0.9999667,1.4901161e-07
-1.0,1.0,0.0
-0.9913356,0.9988214,3.671646e-05
0.99942845,0.99972236,4.172325e-07
-1.0,0.9999994,0.0
-0.99997663,0.99998,8.940697e-08
-0.923814,0.9999932,0.0
-0.9999985,0.9998987,1.847744e-06
0.9539731,0.9994284,2.592802e-06
0.99790907,0.9999777,0.0
-0.9989614,0.9985484,6.279349e-05
-1.0,0.99999994,0.0
1.0,0.9873615,4.351139e-06
-0.9899926,0.9997084,3.4570694e-06
-0.9992323,0.9999981,0.0
0.99991983,0.9995611,7.4505806e-07
-0.9999994,0.99999833,0.0
1.0,0.9995773,1.7881393e-07
-0.9999997,1.0,0.0
0.9985157,0.99999094,0.0
-0.93023956,0.9999616,5.9604645e-08
-1.0,0.9999999,0.0
-1.0,0.9999988,2.9802322e-08
-1.0,0.99995655,3.993511e-06
-1.0,1.0,0.0
-0.9287785,0.9999058,3.2782555e-07
-0.9932696,0.999998,0.0
-0.99999845,0.9991955,6.380677e-05
-0.98157394,0.99990594,3.2782555e-07
1.0,0.9757103,3.8206577e-05
1.0,0.99969834,5.9604645e-08
-1.0,0.99999994,0.0
