steer,gas,brake
0.12034164,0.41787267,0.16560319
-0.93373805,0.91961765,0.33892578
-0.09979561,0.94939667,0.22040474
-0.065925315,0.044710457,0.673077
0.31601128,0.788653,0.04499684
-0.15409975,0.64413285,0.33148012
-0.21126218,0.42467862,0.75242925
0.43508574,0.662964,0.14506024
0.79156965,0.71437484,0.9319729
-0.72689337,0.26743224,0.056610696
-0.2116397,0.8463512,0.97220314
-0.8977081,0.90479565,0.09129809
-0.59632033,0.72425663,0.08989569
-0.86112875,0.5393075,0.5255683
0.5802486,0.43281367,0.85827124
-0.39973217,0.7900373,0.32902592
0.3091211,0.5759532,0.22937022
0.03894265,0.16730034,0.15966612
-0.5495855,0.59045124,0.95720506
0.23828688,0.9180303,0.69977933
-0.040063914,0.8472774,0.07230771
-0.021538915,0.42221555,0.082334094
0.39280713,0.66628104,0.84649694
-0.29763243,0.029334601,0.7867798
-0.9496208,0.17583992,0.98276824
0.037886404,0.24376781,0.50456005
0.972187,0.8810851,0.37146196
0.57033616,0.048478484,0.17169134
-0.9449786,0.83963263,0.25924593
-0.39857242,0.5849019,0.92671376
0.22537337,0.8670621,0.052386448
0.007477243,0.6238492,0.16856313
-0.23833276,0.597961,0.09056163
-0.22022183,0.17198828,0.40713522
0.42723277,0.32114482,0.74154496
-0.50492734,0.23146863,0.64518243
-0.23731412,0.14829175,0.3560411
0.74458563,0.01783913,0.227217
0.44538993,0.6015286,0.9165669
0.8446098,0.5916376,0.80957556
0.8684875,0.88856226,0.8364843
0.68322986,0.42234996,0.47236243
-0.11550278,0.093442924,0.08127147
-0.30378383,0.124360174,1.6848255e-05
-0.87342614,0.6153367,0.72462225
0.11975491,0.29617235,0.59892714
-0.610265,0.096581034,0.5606255
-0.5887428,0.77406937,0.84605515
-0.89964414,0.83141583,0.13365027
-0.41561973,0.22652702,0.75585204
-0.6850095,0.42632735,0.2822598
0.5546247,0.68918073,0.3984666
-0.2339421,0.46648934,0.17969467
-0.0028133371,0.98882216,0.470516
0.3295886,0.6504529,0.99334925
0.9721359,0.20988482,0.34033465
0.7259636,0.63325894,0.6132745
0.7834419,0.21511853,0.594406
-0.5875039,0.62305766,0.19163659
0.18277796,0.60969144,0.25268945
0.5472138,0.14704545,0.641346
0.4306593,0.27829492,0.099806085
0.2325682,0.56682515,0.58542967
0.26514062,0.69704396,0.8829899
0.1559482,0.6149676,0.8004405
-0.62944144,0.31325728,0.9584484
-0.859379,0.5042348,0.07129204
0.21784163,0.254409,0.17151664
0.18257195,0.52243227,0.25732878
-0.6917359,0.2811498,0.21694688
0.94076073,0.38068396,0.25937822
-0.44067773,0.6309993,0.96206206
0.43971124,0.51717895,0.33852217
0.16904898,0.30016398,0.2663972
-0.31364745,0.05664934,0.04736491
-0.51775485,0.056570206,0.23672597
-0.771931,0.9094378,0.5049706
-0.8122988,0.40226573,0.4807426
-0.7872208,0.29746768,0.46054098
0.9534508,0.5374935,0.65090936
-0.07552933,0.41728947,0.6038103
-0.8750342,0.17149343,0.69565445
0.09393155,0.5639252,0.3769322
0.7336091,0.51589847,0.48968792
-0.72523564,0.8552322,0.33800024
-0.95003945,0.9177143,0.75679886
-0.530689,0.66048574,0.5916517
-0.6739941,0.6732958,0.63818884
0.054292675,0.3966196,0.40429017
0.521683,0.79187316,0.3399678
0.45020384,0.8924723,0.6683472
-0.2442937,0.9896356,0.16926467
0.8662598,0.7373305,0.97329617
0.032856047,0.46159154,0.5823751
-0.8515629,0.5725847,0.8418383
0.80944824,0.3370762,0.575756
-0.27827674,0.43838587,0.53551227
-0.8623275,0.28194255,0.8866952
-0.68846893,0.5940242,0.37462798
-0.017380504,0.766398,0.5695733
0.29949725,0.328885,0.4963301
-0.97584534,0.040054455,0.43270245
-0.62850803,0.48406264,0.6266851
-0.63521504,0.57126445,0.18193188
0.67249006,0.95402247,0.35918635
0.3123661,0.29872844,0.26443538
-0.54504454,0.94610775,0.6823893
0.8277193,0.95887405,0.7304295
-0.83505875,0.7678926,0.80380785
0.4462676,0.7893861,0.36311758
0.08385406,0.3788859,0.09553058
0.024672559,0.06874486,0.19745708
0.093529634,0.9844653,0.5622033
-0.6338601,0.90901345,0.9430002
-0.4070521,0.9266065,0.063114814
0.36351433,0.18665916,0.4979685
0.7337468,0.57120895,0.3958476
0.6694946,0.29243886,0.34352875
0.46093866,0.4709467,0.7499205
0.252395,0.42716402,0.98549455
0.72337425,0.6594013,0.19285607
0.19585553,0.18078989,0.6537532
0.99917513,0.77931064,0.7806963
-0.5489622,0.52192914,0.071273655
0.16365248,0.40911627,0.82270265
0.4188893,0.8584762,0.50056654
-0.5375124,0.63539135,0.74778897
-0.42690745,0.4766449,0.92067146
0.29231355,0.08058966,0.4873352
0.479781,0.8444493,0.546904
0.3969157,0.6752129,0.7504409
0.30602932,0.18579051,0.056973316
0.98244196,0.7643351,0.99148226
-0.82803214,0.31299257,0.01033891
-0.32431066,0.7470519,0.44893232
0.8734772,0.12813386,0.86750644
-0.5442498,0.1722192,0.3298862
0.49614447,0.41105136,0.8647126
-0.40857822,0.46821517,0.59661376
0.5671281,0.5820708,0.99604857
0.048857827,0.80600053,0.7510461
0.5748079,0.248644,0.44465336
-0.43759537,0.9043277,0.54691625
-0.94347525,0.8662587,0.05719873
-0.12680972,0.80275846,0.39818582
0.42449448,0.12995121,0.054355912
-0.62906295,0.14036229,0.7020798
0.20300263,0.004254428,0.8372112
0.005345521,0.49251163,0.41556585
-0.9421583,0.5564194,0.22750847
-0.65323657,0.49462655,0.21417129
-0.17821887,0.42348704,0.97323287
-0.39106953,0.17220715,0.2256364
0.64821726,0.23252054,0.79898375
-0.94177014,0.25975552,0.9023526
-0.018631453,0.44523135,0.7131899
0.0027657268,0.28002828,0.34117687
0.6222747,0.47042593,0.8657405
-0.37771535,0.3810947,0.9460893
-0.8091267,0.67221767,0.5807081
