seq_id,source_file,source_t,reward_sum_undiscounted,reward_sum_discounted,reward_mean,reward_max,lambda_t0,lambda_mean_all_steps,reward_component_t0,value_component_t0,value_t0,terminal_value,value_mean,value_max,value_min,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
0,data/latent/train/1781995936765_heuristic_00038.npz,637,0.44185566902160645,0.34461510181427,0.02945704385638237,0.2765161991119385,65.74063873291016,69.47390747070312,0.011002987623214722,65.72964477539062,61.13631820678711,74.19583129882812,71.51234436035156,75.3382339477539,61.13631820678711,0.19963547587394714,0.9995450973510742,5.116065494803479e-06,1.0,1.0,1.0
1,data/latent/train/1781995688182_heuristic_00011.npz,270,-1.703254222869873,-1.5912389755249023,-0.11355028301477432,-0.10554730892181396,38.509368896484375,41.73097229003906,-1.1573617458343506,39.66674041748047,42.82272720336914,45.82619857788086,43.164649963378906,45.82619857788086,41.17141342163086,-0.9998295307159424,0.9970691800117493,0.00012254714965820312,1.0,1.0,1.0
2,data/latent/train/1781975767951_heuristic_00024.npz,41,11.041520118713379,10.236650466918945,0.7361013293266296,0.8836266994476318,79.86992645263672,81.45398712158203,7.1599345207214355,72.70996856689453,77.09476470947266,81.96057891845703,80.18444061279297,82.07304382324219,77.09476470947266,0.42486363649368286,0.9999973773956299,0.0,0.06666667014360428,1.0,1.0
3,data/latent/train/1781975592337_heuristic_00005.npz,17,0.465301513671875,0.39876848459243774,0.03102010115981102,0.34032583236694336,62.71001052856445,67.88204956054688,0.17560596764087677,62.534400939941406,63.3486328125,73.63992309570312,66.88841247558594,73.63992309570312,63.3486328125,0.2392430305480957,0.9999317526817322,9.934107758624577e-09,0.5333333611488342,1.0,1.0
4,data/latent/train/1781975666230_heuristic_00013.npz,814,9.762018203735352,9.063551902770996,0.6508012413978577,0.8476654291152954,79.93853759765625,81.23668670654297,6.403292179107666,73.53527069091797,83.35115814208984,82.11961364746094,81.83880615234375,83.35115814208984,80.6844482421875,0.9506362080574036,0.9995934963226318,9.338061346397808e-08,0.7333333492279053,1.0,1.0
5,data/latent/train/1781995790154_heuristic_00022.npz,913,-0.36479640007019043,-0.34210288524627686,-0.024319760501384735,0.039839740842580795,38.26875686645508,41.50640869140625,-0.24776947498321533,38.51652526855469,44.988555908203125,45.42603302001953,41.54644012451172,45.42603302001953,36.88835525512695,-0.04990541189908981,0.9997298717498779,6.775061365260626e-07,0.3333333432674408,1.0,1.0
6,data/latent/train/1781995678845_heuristic_00010.npz,607,5.098452568054199,4.651249408721924,0.3398968279361725,0.6600093841552734,66.38400268554688,71.0151596069336,2.9851293563842773,63.39884567260742,60.60718536376953,74.32565307617188,67.94635009765625,74.32565307617188,60.60718536376953,0.9999963641166687,0.9999351501464844,1.9868215961338365e-09,1.0,1.0,1.0
7,data/latent/train/1781996019435_heuristic_00047.npz,730,3.4626660346984863,3.1458606719970703,0.2308444082736969,0.40744996070861816,73.38396453857422,78.34708404541016,1.9448893070220947,71.4390869140625,71.37348937988281,82.77310943603516,77.22804260253906,82.77310943603516,71.37348937988281,0.36381620168685913,0.9999670386314392,4.371007378267677e-08,0.46666666865348816,1.0,1.0
8,data/latent/train/1781995772209_heuristic_00020.npz,544,-1.515225887298584,-1.411726474761963,-0.10101506114006042,-0.0872875452041626,25.3218936920166,24.891773223876953,-1.012824535369873,26.334720611572266,33.7347297668457,26.230690002441406,30.99277114868164,35.442867279052734,26.06249237060547,0.3551780879497528,0.9996972680091858,1.5695890454026085e-07,0.46666666865348816,1.0,1.0
9,data/latent/train/1781995725381_heuristic_00015.npz,936,-1.6495946645736694,-1.5374311208724976,-0.10997297614812851,-0.09045004844665527,32.28272247314453,35.27707290649414,-1.1040079593658447,33.386722564697266,22.828956604003906,38.538578033447266,35.83430862426758,38.939693450927734,22.828956604003906,0.8537426590919495,0.9956349730491638,5.2291154133854434e-05,0.6000000238418579,1.0,1.0
10,data/latent/train/1781975740977_heuristic_00021.npz,816,-0.6405150890350342,-0.6461570262908936,-0.042701005935668945,0.25150561332702637,62.34555435180664,67.1830825805664,-0.6292977929115295,62.974849700927734,50.818748474121094,72.69727325439453,67.40046691894531,72.69727325439453,50.818748474121094,0.07519885897636414,0.998455822467804,7.349252882704604e-06,0.9333333373069763,1.0,1.0
11,data/latent/train/1781995799509_heuristic_00023.npz,3,3.6640143394470215,3.2529714107513428,0.24426762759685516,0.6082655191421509,56.54059982299805,61.368900299072266,1.7442246675491333,54.79636764526367,42.100772857666016,63.5204963684082,58.87263870239258,63.74592971801758,42.100772857666016,-0.1901497095823288,0.9622771143913269,0.0006265878910198808,0.8666666746139526,0.8666666746139526,1.0
